trial_number,state,role,lr_multiplier,weight_decay,dropout,end_lr_fraction,final_val_mean_auroc,final_shd_auroc,best_reported_auroc,n_epochs_run,duration_s,timestamp
15,COMPLETE,trial,0.10988254096643456,1.2833615377900657e-05,0.4200660372870482,0.002910680020598451,0.793642,0.822,0.7975666666666669,5,324.8,2026-09-24 03:33:05
16,PRUNED,trial,0.1416595593689521,0.0017187858977443717,0.3430187233314047,0.41849134489557094,,,0.7988,2,126.0,2026-09-24 03:35:12
17,PRUNED,trial,0.1549953806508541,1.039522383821556e-05,0.40938949165292327,0.0052221143020214555,,,0.7961,2,129.5,2026-09-24 03:37:21
18,PRUNED,trial,0.10427909578854452,0.005431867033826737,0.17554507628648774,0.027696438012801042,,,0.7937,1,63.2,2026-09-24 03:38:25
19,COMPLETE,trial,0.11420698798566024,1.5651781741631e-06,0.43499444780646984,0.0011197479505882805,0.793342,0.8211,0.7968250000000001,5,327.5,2026-09-24 03:43:53
20,PRUNED,trial,0.1477310597607612,1.7097788260955874e-06,0.367338648954026,0.001258323513730046,,,0.79675,2,128.3,2026-09-24 03:46:02
21,COMPLETE,trial,0.1172215575158644,6.020731495488262e-05,0.48881417506178265,0.003997573373437934,0.794958,0.8217,0.7976916666666667,5,317.8,2026-09-24 03:51:20
22,COMPLETE,trial,0.11577977523150407,4.8690435471224e-05,0.4926795371961123,0.004708532249080483,0.793983,0.8206,0.7984833333333333,5,317.3,2026-09-24 03:56:38
23,PRUNED,trial,0.10805696355445675,7.795827196989286e-05,0.46695451562078527,0.010620491814417307,,,0.7976416666666667,2,130.6,2026-09-24 03:58:49
24,COMPLETE,trial,0.1383323553393258,8.846238126104332e-05,0.5922787453572493,0.003050110028709013,0.7952,0.8215,0.7974166666666668,5,325.4,2026-09-24 04:04:15
25,COMPLETE,trial,0.11241894507886564,5.3074166191659854e-05,0.5751664802470379,0.0026747708937080107,0.794475,0.8218,0.7979083333333333,5,326.8,2026-09-24 04:09:42
26,COMPLETE,trial,0.11622865376249461,0.00012736122945785337,0.5829449551677792,0.001078043702457296,0.795408,0.8219,0.7987333333333334,5,320.0,2026-09-24 04:15:02
27,PRUNED,trial,0.393670331915888,4.567040377323134e-05,0.5228421077473019,0.0013322483807768069,,,0.7947583333333333,1,67.1,2026-09-24 04:16:10
28,COMPLETE,trial,0.16702615208291996,0.0010694753974851985,0.5819013617039869,0.0011306774393715472,0.794533,0.8208,0.7982249999999999,5,330.5,2026-09-24 04:21:40
29,PRUNED,trial,0.17665823090837998,1.6918620795481074e-05,0.5681931431891775,0.003295088418927119,,,0.7977250000000001,2,132.7,2026-09-24 04:23:54
30,COMPLETE,trial,0.11268819603100753,0.00036568971867018574,0.5312874317827275,0.0010168400887777302,0.79575,0.8219,0.7985500000000001,5,340.7,2026-09-24 04:29:35
31,PRUNED,trial,0.19543891036671032,0.0003709297284416494,0.5941139388347181,0.005752849551265986,,,0.795525,1,66.6,2026-09-24 04:30:42
