target,feature,group_lead,group_type,importance_mean,importance_std
shd_moderate_or_greater_flag,aVL_hf_power,aVL,hf_power,0.00028587550804093365,0.00018822230729018423
shd_moderate_or_greater_flag,aVL_total_power,aVL,total_power,5.6427814337167706e-05,8.057297771028101e-05
shd_moderate_or_greater_flag,aVL_dominant_freq,aVL,dominant_freq,0.0002344041909089878,0.00021872867446406683
shd_moderate_or_greater_flag,aVL_spectral_entropy,aVL,spectral_entropy,3.191221662177668e-05,5.088657450414315e-05
shd_moderate_or_greater_flag,aVF_mean,aVF,mean,4.9374337545038394e-05,2.404777057139102e-05
shd_moderate_or_greater_flag,aVF_std,aVF,std,-3.5343637763984856e-05,1.6629886321904534e-05
shd_moderate_or_greater_flag,aVF_min,aVF,min,0.0003621293111993218,0.00023353679903516302
shd_moderate_or_greater_flag,aVF_max,aVF,max,6.5959539731652585e-06,6.050615553114965e-05
shd_moderate_or_greater_flag,aVF_rms,aVF,rms,3.759312495712486e-05,1.701391356230072e-05
shd_moderate_or_greater_flag,aVF_energy,aVF,energy,1.0599278639000786e-05,1.9925309909577347e-05
shd_moderate_or_greater_flag,aVF_skewness,aVF,skewness,7.099229074039037e-05,0.00011504880840077506
shd_moderate_or_greater_flag,aVF_kurtosis,aVF,kurtosis,-2.6688831105503574e-05,0.00013706204844124754
shd_moderate_or_greater_flag,aVF_zcr,aVF,zcr,-7.51099961113777e-06,4.518264662372123e-05
shd_moderate_or_greater_flag,aVF_lf_power,aVF,lf_power,2.055039995116914e-05,3.5080561935893525e-05
shd_moderate_or_greater_flag,aVF_ecg_band_power,aVF,ecg_band_power,7.221235159096117e-05,9.283030699381163e-05
shd_moderate_or_greater_flag,aVF_hf_power,aVF,hf_power,0.00018293287377697532,0.00016577617143244942
shd_moderate_or_greater_flag,aVF_total_power,aVF,total_power,-5.040376388776302e-05,3.8756253322007176e-05
shd_moderate_or_greater_flag,aVF_dominant_freq,aVF,dominant_freq,3.923258172495725e-05,6.025888947391056e-05
shd_moderate_or_greater_flag,aVF_spectral_entropy,aVF,spectral_entropy,4.422720583119321e-06,8.028084269470957e-05
shd_moderate_or_greater_flag,V1_mean,V1,mean,0.0006357660838334223,0.0002773212545819435
shd_moderate_or_greater_flag,V1_std,V1,std,4.5599774288751505e-05,1.5568386251913955e-05
shd_moderate_or_greater_flag,V1_min,V1,min,0.0005570340320723455,0.00036331664465214257
shd_moderate_or_greater_flag,V1_max,V1,max,8.315477234421831e-05,3.843569903647747e-05
shd_moderate_or_greater_flag,V1_rms,V1,rms,0.00017942519883176188,0.00012341145053993788
shd_moderate_or_greater_flag,V1_energy,V1,energy,6.740836199199407e-05,1.327155767685477e-05
shd_moderate_or_greater_flag,V1_skewness,V1,skewness,0.0005720179043928741,0.00024213718312438617
shd_moderate_or_greater_flag,V1_kurtosis,V1,kurtosis,-5.7571621384644445e-05,0.00010012098220465242
shd_moderate_or_greater_flag,V1_zcr,V1,zcr,0.0011610404068902013,0.00023750885800199762
shd_moderate_or_greater_flag,V1_lf_power,V1,lf_power,0.0013407324940330812,0.0005541171506304873
shd_moderate_or_greater_flag,V1_ecg_band_power,V1,ecg_band_power,0.0003361648912238779,0.00011498643695706778
shd_moderate_or_greater_flag,V1_hf_power,V1,hf_power,-3.625868340189076e-05,9.586238910535609e-05
shd_moderate_or_greater_flag,V1_total_power,V1,total_power,0.0006669920162267528,0.00030092728941172716
shd_moderate_or_greater_flag,V1_dominant_freq,V1,dominant_freq,0.0015458170976276886,0.0005307754876297491
shd_moderate_or_greater_flag,V1_spectral_entropy,V1,spectral_entropy,0.0007970810044150456,0.0004647788842411266
shd_moderate_or_greater_flag,V2_mean,V2,mean,6.138431154179002e-06,0.00030731802034888696
shd_moderate_or_greater_flag,V2_std,V2,std,0.00045900976811212856,6.919464385921043e-05
shd_moderate_or_greater_flag,V2_min,V2,min,-5.387331193151823e-05,5.136736577895734e-05
shd_moderate_or_greater_flag,V2_max,V2,max,-4.09864191977416e-05,0.00028472837227302864
shd_moderate_or_greater_flag,V2_rms,V2,rms,3.2979769865981726e-05,0.00013489349505346854
shd_moderate_or_greater_flag,V2_energy,V2,energy,0.0001014938120038389,0.00011241712889711784
shd_moderate_or_greater_flag,V2_skewness,V2,skewness,-3.51911301576191e-05,9.212832266436864e-05
shd_moderate_or_greater_flag,V2_kurtosis,V2,kurtosis,5.337766221080731e-05,5.4289682244942156e-05
shd_moderate_or_greater_flag,V2_zcr,V2,zcr,0.0004711722497158899,0.00028161773532992305
shd_moderate_or_greater_flag,V2_lf_power,V2,lf_power,0.0007840797309765612,0.00017435816024928024
