trial_number,state,learning_rate,weight_decay,dropout,batch_size,final_val_mean_auroc,best_reported_auroc,n_epochs_run,duration_s,timestamp
37,PRUNED,0.0002718536268151129,1.7807195468937389e-06,0.23987666998920218,32,,0.819975,4,260.0,2026-09-24 08:13:01
38,PRUNED,0.0002471338022595125,0.0013488161488538547,0.2714522006364062,32,,0.8154499999999999,4,258.0,2026-09-24 08:17:19
39,PRUNED,0.0004388178370735002,0.0006863104627212362,0.15535338496469958,32,,0.792325,1,63.5,2026-09-24 08:18:23
40,PRUNED,0.00010271182056025993,0.0003296446936420077,0.24722194723127758,32,,0.81885,4,262.4,2026-09-24 08:22:45
41,PRUNED,0.00037222021456295777,4.75644271075894e-05,0.23191324561883983,32,,0.810375,2,131.4,2026-09-24 08:24:57
42,PRUNED,0.00023222144620752694,0.00011357438542546657,0.3127622721988218,32,,0.8185166666666666,4,256.6,2026-09-24 08:29:14
43,PRUNED,9.919119559259857e-05,5.067406675912795e-05,0.2909789998708303,32,,0.8081166666666665,2,127.6,2026-09-24 08:31:21
44,PRUNED,0.00013050091312117205,0.0003036257378243895,0.36026839471063316,32,,0.8097083333333334,2,132.3,2026-09-24 08:33:34
45,PRUNED,0.000821703153149162,0.0003501736909605415,0.33756989032355394,32,,0.7813916666666666,1,73.7,2026-09-24 08:34:48
46,PRUNED,0.0004373171257207881,0.0001558830984449961,0.29100601930459596,32,,0.8099083333333331,2,128.3,2026-09-24 08:36:56
47,PRUNED,9.990759887585355e-05,7.091250378161554e-06,0.18371720745379078,32,,0.8077000000000002,2,130.4,2026-09-24 08:39:07
48,COMPLETE,0.0001502020723661638,6.06248543275787e-05,0.35270438485709377,32,0.815933,0.8194333333333333,5,322.6,2026-09-24 08:44:29
49,PRUNED,0.00021877309104537863,3.467249002374045e-05,0.27769470666818014,32,,0.7936583333333335,1,62.3,2026-09-24 08:45:32
50,PRUNED,0.00010203316208480164,2.0276691598654614e-05,0.12097111534378807,32,,0.81385,4,249.4,2026-09-24 08:49:42
51,COMPLETE,0.00017733574638308938,4.905861599850512e-05,0.36440131741060916,32,0.821042,0.823,5,323.2,2026-09-24 08:55:05
52,PRUNED,0.00022770641705713014,0.00028945143329029154,0.22980884197111057,32,,0.7930833333333335,1,68.9,2026-09-24 08:56:15
53,PRUNED,0.00021274974366337156,7.158224487672204e-05,0.3765029525735984,32,,0.8169583333333335,4,264.4,2026-09-24 09:00:39
54,PRUNED,0.00028011322859582984,2.9995258125381177e-05,0.3302538610649485,32,,0.8184666666666667,4,263.2,2026-09-24 09:05:02
55,PRUNED,7.618403453864462e-05,7.750258094949908e-05,0.35859299463817845,32,,0.7926666666666665,1,64.4,2026-09-24 09:06:07
56,PRUNED,0.00012565145181797253,5.139280331051848e-05,0.3413595084914216,32,,0.7948333333333335,1,68.2,2026-09-24 09:07:16
57,PRUNED,0.00011635005146139542,7.035772646970447e-05,0.475812683318632,32,,0.8053999999999998,2,147.9,2026-09-24 09:09:44
58,PRUNED,6.138339685218828e-05,1.9301324822473322e-05,0.34452976799261664,32,,0.787375,1,67.4,2026-09-24 09:10:51
59,PRUNED,0.0002851136125673997,0.00015822466295326118,0.3648879047507101,32,,0.8074166666666667,2,134.7,2026-09-24 09:13:06
60,PRUNED,0.00018546793698951262,1.8055701602779105e-05,0.4301792876313333,32,,0.7948749999999999,1,66.0,2026-09-24 09:14:12
61,PRUNED,6.0680185330991346e-05,0.00024574491680519415,0.3448380350130435,32,,0.7903666666666666,1,64.5,2026-09-24 09:15:17
62,PRUNED,0.00027304195717723885,0.0007759517722326694,0.4176526017441962,32,,0.7944,1,64.6,2026-09-24 09:16:22
63,COMPLETE,0.00017457278689723968,0.0002356848958359528,0.27269949769861235,32,0.820708,0.8217249999999999,5,325.0,2026-09-24 09:21:47
64,PRUNED,0.000347476668778846,0.0005783064456589643,0.2777221714931809,32,,0.7941166666666667,1,66.1,2026-09-24 09:22:53
65,COMPLETE,0.00016501941672915468,0.0003379784456525164,0.3178771968805064,32,0.822875,0.8228749999999999,5,330.6,2026-09-24 09:28:24
66,PRUNED,0.00011458493186002239,0.0009142304715837148,0.2629947174252471,32,,0.7923666666666667,1,64.9,2026-09-24 09:29:29
67,PRUNED,0.00014019160153600112,0.0001616018882899277,0.38351739303209564,32,,0.8170000000000001,4,258.2,2026-09-24 09:33:48
68,PRUNED,0.00022745604570734756,2.940712683058958e-05,0.1988806297299458,32,,0.8192333333333334,4,257.7,2026-09-24 09:38:06
69,COMPLETE,0.00023760570234067127,0.0007920675837168489,0.3503124497395013,32,0.818492,0.8207166666666668,5,327.2,2026-09-24 09:43:33
